method,comparator,horizon,movies,mean_rmse_delta_comparator_minus_method,delta_ci_low,delta_ci_high,relative_gain_percent,method_better_movies,exact_two_sided_sign_flip_p,confirmatory,hypothesis_id,multiplicity_family,statistical_unit,holm_adjusted_p,reject_at_0_05
v166_h6_utility,gru_track,6,6,2.9113507533167975,2.4403251412469285,3.4299207022373452,34.388960596939334,6,0.03125,False,,exploratory,movie,,False
v166_h6_utility,hgbdt_v52,6,6,2.903339809586125,2.577233857872566,3.2299704763217236,34.54246222535199,6,0.03125,False,,exploratory,movie,,False
v166_h6_utility,kalmannet,6,6,3.2936567198000195,2.841591851858871,3.6689578832917262,37.45898402762966,6,0.03125,False,,exploratory,movie,,False
v166_h6_utility,position_imm,6,6,3.3241879142749817,2.9598244035376524,3.6535017675588635,37.73391824950156,6,0.03125,False,,exploratory,movie,,False
v166_h6_utility,position_kf_ca,6,6,1.7157343226103494,1.3467692964212539,2.078975154359435,23.67888074528136,6,0.03125,False,,exploratory,movie,,False
v166_h6_utility,position_kf_cv,6,6,3.7895051635730774,3.3730221401127705,4.179591410815656,40.815987485797464,6,0.03125,False,,exploratory,movie,,False
v166_h6_utility,v97_no_update,6,6,2.3112914367652824,2.2064403869577336,2.4142214777135043,29.763802339504462,6,0.03125,True,H2,primary_H1_H2,movie,0.0625,False
v166_h6_utility,v97_seed_mean,6,6,2.4402472440496266,2.3251263571060554,2.5510863663023766,30.904893256591965,6,0.03125,False,,exploratory,movie,,False
v166_h6_utility,wolf_imq_ca,6,6,1.969326257450234,1.671431268541367,2.2862639980764428,26.36687005899418,6,0.03125,False,,exploratory,movie,,False
v166_h6_utility,wolf_imq_cv,6,6,3.9720937408435852,3.5633614536090605,4.3767667546470355,41.95133936204692,6,0.03125,False,,exploratory,movie,,False
