operating_point,condition,horizon,movies,component_rmse_mean,component_rmse_std,vector_rmse_mean,r2_mean,rmse_improvement_percent_mean,movies_improved,source_path,source_sha256
h6_utility,missing_0.1,1,6,3.776515988778081,0.4169234391289915,5.340800129848802,0.4178893021920235,-8.613820983720629,0,/Users/dmitrijabovskij/Desktop/Airi/outputs/lachance_foldlocal_semigroup_stress_v188_h6_2026-07-29/v157f_stress_aggregate.csv,dcb5d2e44f3c5159698f9647f56d320830e555d33a48f6905cd369f8d8b42f69
h6_utility,real_update_every_1,1,6,3.807964932715256,0.4175589226425081,5.385275652887064,0.4079878705272236,-9.532741053158263,0,/Users/dmitrijabovskij/Desktop/Airi/outputs/lachance_foldlocal_semigroup_stress_v188_h6_2026-07-29/v157f_stress_aggregate.csv,dcb5d2e44f3c5159698f9647f56d320830e555d33a48f6905cd369f8d8b42f69
h6_utility,update_every_1,1,6,3.807964932715256,0.4175589226425081,5.385275652887064,0.4079878705272236,-9.532741053158263,0,/Users/dmitrijabovskij/Desktop/Airi/outputs/lachance_foldlocal_semigroup_stress_v188_h6_2026-07-29/v157f_stress_aggregate.csv,dcb5d2e44f3c5159698f9647f56d320830e555d33a48f6905cd369f8d8b42f69
h6_utility,tracking_noise_0.5px,1,6,3.820640039479128,0.4143280777975973,5.40320096077706,0.4040325775710149,-9.909602327134449,0,/Users/dmitrijabovskij/Desktop/Airi/outputs/lachance_foldlocal_semigroup_stress_v188_h6_2026-07-29/v157f_stress_aggregate.csv,dcb5d2e44f3c5159698f9647f56d320830e555d33a48f6905cd369f8d8b42f69
h6_utility,tracking_noise_1px,1,6,3.85595728599658,0.4033326844316595,5.4531470897877155,0.3926985540378716,-10.97453010297739,0,/Users/dmitrijabovskij/Desktop/Airi/outputs/lachance_foldlocal_semigroup_stress_v188_h6_2026-07-29/v157f_stress_aggregate.csv,dcb5d2e44f3c5159698f9647f56d320830e555d33a48f6905cd369f8d8b42f69
h6_utility,wrong_cell,1,6,3.8575695592465182,0.4344638895286166,5.4554271884840295,0.3929785730778588,-10.915220655648564,0,/Users/dmitrijabovskij/Desktop/Airi/outputs/lachance_foldlocal_semigroup_stress_v188_h6_2026-07-29/v157f_stress_aggregate.csv,dcb5d2e44f3c5159698f9647f56d320830e555d33a48f6905cd369f8d8b42f69
h6_utility,tracking_noise_2px,1,6,3.9608668037698713,0.3768792168943338,5.601511552644724,0.3583697198631841,-14.124022953054649,0,/Users/dmitrijabovskij/Desktop/Airi/outputs/lachance_foldlocal_semigroup_stress_v188_h6_2026-07-29/v157f_stress_aggregate.csv,dcb5d2e44f3c5159698f9647f56d320830e555d33a48f6905cd369f8d8b42f69
h6_utility,real_update_every_1,2,6,4.180735110335249,0.4818032143967765,5.912452293725487,0.7803309467767184,10.918950684900455,6,/Users/dmitrijabovskij/Desktop/Airi/outputs/lachance_foldlocal_semigroup_stress_v188_h6_2026-07-29/v157f_stress_aggregate.csv,dcb5d2e44f3c5159698f9647f56d320830e555d33a48f6905cd369f8d8b42f69
h6_utility,update_every_1,2,6,4.180735110335249,0.4818032143967765,5.912452293725487,0.7803309467767184,10.918950684900455,6,/Users/dmitrijabovskij/Desktop/Airi/outputs/lachance_foldlocal_semigroup_stress_v188_h6_2026-07-29/v157f_stress_aggregate.csv,dcb5d2e44f3c5159698f9647f56d320830e555d33a48f6905cd369f8d8b42f69
h6_utility,tracking_noise_0.5px,2,6,4.197976526661424,0.4793848454227099,5.936835338528485,0.778508062112405,10.543675488135031,6,/Users/dmitrijabovskij/Desktop/Airi/outputs/lachance_foldlocal_semigroup_stress_v188_h6_2026-07-29/v157f_stress_aggregate.csv,dcb5d2e44f3c5159698f9647f56d320830e555d33a48f6905cd369f8d8b42f69
