outer_group,variant,control,term,coefficient_standardized,term_scale,coefficient_physical,validation_rmse,alpha,threshold
cn03_5_8/island05,full_sparse_pde,kin_time_shuffled,lap_u,0.0035993443666416545,0.0007680091269847472,4.686590614844526,0.10280962457843376,100.0,0.0
cn03_5_8/island05,full_sparse_pde,kin_time_shuffled,grad_div_u,-0.0014521676863928823,0.0006004488123404243,-2.418470411711925,0.10280962457843376,100.0,0.0
cn03_5_8/island05,full_sparse_pde,kin_time_shuffled,advect_v_u,0.0003478350139522497,0.0026307822877218805,0.13221733154264792,0.10280962457843376,100.0,0.0
cn03_5_8/island05,full_sparse_pde,kin_time_shuffled,advect_u_u,-0.0006028650775170569,0.003780481308517671,-0.1594678106617701,0.10280962457843376,100.0,0.0
cn03_5_8/island05,full_sparse_pde,kin_time_shuffled,cubic_u,0.0033023047886328715,0.09205513446990413,0.03587311894821581,0.10280962457843376,100.0,0.0
cn03_5_8/island05,full_sparse_pde,kin_time_shuffled,boundary_normal,-0.0001387356532740572,0.29216172333202456,-0.0004748591009520858,0.10280962457843376,100.0,0.0
cn03_5_8/island05,full_sparse_pde,kin_time_shuffled,traction,0.00037203814153236194,83.85463620758348,4.436703304172421e-06,0.10280962457843376,100.0,0.0
cn03_5_8/island05,full_sparse_pde,kin_time_shuffled,stress_div,0.0017949888365991066,14.757997247207612,0.00012162821326848666,0.10280962457843376,100.0,0.0
cn03_5_8/island05,full_sparse_pde,kin_time_shuffled,force_balance,-0.0016410351435510889,31.476983695862923,-5.213444716962423e-05,0.10280962457843376,100.0,0.0
cn03_5_8/island05,full_sparse_pde,kin_spatial_shifted,u_prev,-0.023968161016557455,0.11517366365448374,-0.2081045289004694,0.10284425866346036,100.0,0.0
cn03_5_8/island05,full_sparse_pde,kin_spatial_shifted,lap_u,-0.012173766481240002,0.0007680091269847472,-15.851070063496492,0.10284425866346036,100.0,0.0
cn03_5_8/island05,full_sparse_pde,kin_spatial_shifted,grad_div_u,-0.0004411274886680046,0.0006004488123404242,-0.734662938125536,0.10284425866346036,100.0,0.0
cn03_5_8/island05,full_sparse_pde,kin_spatial_shifted,advect_v_u,0.00048098009010178833,0.0026307822877218805,0.18282778181477413,0.10284425866346036,100.0,0.0
cn03_5_8/island05,full_sparse_pde,kin_spatial_shifted,advect_u_u,-0.0007192498396278089,0.003780481308517672,-0.1902535103155495,0.10284425866346036,100.0,0.0
cn03_5_8/island05,full_sparse_pde,kin_spatial_shifted,cubic_u,0.004447681051400708,0.09205513446990413,0.04831540442597259,0.10284425866346036,100.0,0.0
cn03_5_8/island05,full_sparse_pde,kin_spatial_shifted,boundary_normal,-0.00012649936466210753,0.29216172333202456,-0.0004329771991327846,0.10284425866346036,100.0,0.0
cn03_5_8/island05,full_sparse_pde,kin_spatial_shifted,traction,0.00040526148252948644,83.85463620758348,4.8329049037462305e-06,0.10284425866346036,100.0,0.0
cn03_5_8/island05,full_sparse_pde,kin_spatial_shifted,stress_div,0.001506316745575519,14.757997247207612,0.00010206782941774379,0.10284425866346036,100.0,0.0
cn03_5_8/island05,full_sparse_pde,kin_spatial_shifted,force_balance,-0.0014046895919417753,31.476983695862923,-4.462592748765811e-05,0.10284425866346036,100.0,0.0
cn03_5_8/island05,full_sparse_pde,kin_wrong_island,u_prev,-0.015775493311562853,0.11452773359847415,-0.13774387055340306,0.10276178674332022,100.0,0.0
cn03_5_8/island05,full_sparse_pde,kin_wrong_island,lap_u,-0.00961083698402301,0.0007587044785430253,-12.667431464855904,0.10276178674332022,100.0,0.0
cn03_5_8/island05,full_sparse_pde,kin_wrong_island,grad_div_u,0.0003661287558447649,0.0005911545945446876,0.619345191974293,0.10276178674332022,100.0,0.0
cn03_5_8/island05,full_sparse_pde,kin_wrong_island,advect_v_u,0.000809653865188767,0.0026186971191163905,0.3091819436766185,0.10276178674332022,100.0,0.0
cn03_5_8/island05,full_sparse_pde,kin_wrong_island,advect_u_u,-0.0011688231921321282,0.0036879451855287328,-0.3169307387535253,0.10276178674332022,100.0,0.0
