objective_name,variant,control,horizon,movies,component_rmse_mean,component_rmse_std,vector_rmse_mean,r2_mean,gain_percent_mean,movies_improved,delta_ci_low,delta_ci_high,sign_flip_two_sided_p,sign_flip_one_sided_p,holm_p
h6_guard10,self_memory,real,2,6,4.230880011397351,0.5168219750057836,5.983367892891369,0.7750923968082549,9.911335119640496,6,0.4356670855430753,0.4902011688742531,0.03125,0.015625,0.0625
h6_guard10,self_memory,real,4,6,5.156346727848255,0.6681496199894119,7.292175474821132,0.896828407509461,20.58634889917027,6,1.2177472175728357,1.4281871339180043,0.03125,0.015625,0.0625
h6_guard10,self_memory,real,6,6,5.835906446972481,0.7350110585555363,8.253218046049065,0.9299024855875038,25.440403800612852,6,1.7855272445423627,2.1537091547250267,0.03125,0.015625,0.0625
h6_guard10,self_memory,stale_time,1,6,3.716945888208714,0.48295823616898037,5.2565552857116735,0.43775084745407516,-6.707827841390812,0,-0.3021210268403836,-0.16910503849736766,0.03125,1.0,1.0
h6_guard10,self_memory,stale_time,2,6,5.079750966968354,0.6086179910608466,7.183852710964491,0.6756959742803378,-8.246290616594107,0,-0.501106886074763,-0.2777851320898674,0.03125,1.0,1.0
h6_guard10,self_memory,stale_time,4,6,5.8254586722367945,0.6801352420554033,8.238442661321235,0.8684884854754301,10.185344468972037,6,0.6203739492731243,0.6953988357604551,0.03125,0.015625,0.0625
h6_guard10,self_memory,stale_time,6,6,6.426679958643985,0.7211029127929588,9.088697958545685,0.9151528717186359,17.82346700454399,6,1.2645515372528782,1.4996296145270136,0.03125,0.015625,0.0625
h6_guard10,self_memory,wrong_cell,1,6,3.8513069803176543,0.5629989991599538,5.446570564427398,0.3955305126736497,-10.404055889246672,0,-0.48877402894337907,-0.2520535474691827,0.03125,1.0,1.0
h6_guard10,self_memory,wrong_cell,2,6,4.9941085753668615,0.561064567117294,7.062736079247592,0.6864176297048524,-6.464867074888166,0,-0.3674008806411549,-0.23538708871168432,0.03125,1.0,1.0
h6_guard10,self_memory,wrong_cell,4,6,6.8551375923260345,0.7270142779695715,9.694628555001126,0.8177645108489608,-5.807817168652677,0,-0.46594160815525143,-0.28753224679008227,0.03125,1.0,1.0
h6_guard10,self_memory,wrong_cell,6,6,8.205733468622173,0.7852676560537105,11.604659560544299,0.8617519495178309,-5.074947611586092,0,-0.4960941061172021,-0.30015944016271545,0.03125,1.0,1.0
